student_id,problem_number,problem_text,problem_strategy,student_strategy,cluster_number,correct_strategy,correct_unknown,correct_answer
stu_WGHAA88036,1,"Leah's hobby is buying and selling rare coins. She purchased a 1914 Lincoln head penny minted in Denver for $20. Because the coin is one of the rarest Lincoln heads, Leah was able to sell the coin one year later for 45% more than she paid for it. What was Leah selling price for the coin?
Enter the selling price of Leah's coin.",ER,BOTH,0,no,no,no
stu_WGHAA88036,2,"Like most string quartets, the Quirky Quartet contains 4 musicians -- two violinists, a violist, and a cellist. The Quirky Quartet has decided to add 1 musician and become the Quirky Quintet. What will be the percent change in the number of musicians of the group when the quartet expands?
Enter the percent change in the number of musicians in the group.",ER,BOTH,0,no,no,yes
stu_WGHAA88036,3,"Last season, your favorite hockey team won 25 games.  So far this season, your favorite hockey team has won 3 more games than last season.  What is the percent change in the number of games that your favorite team won from last season to this season?
Enter the percent change in the number of games that your favorite team won from last season to this season.",ER,BOTH,0,no,no,yes
stu_WGHAA88036,4,"Last month, Victor had 4 dollars in a checking account.  Since then, his account balance has decreased by 50%.  What is the current balance of Victor's account?
Enter the current balance of Victor's account.",ER,BOTH,0,no,no,yes
stu_WGHAA88036,5,"Nicholas is the manager of a car wash.  Last week, there were 24 customers.  This week there were 75% fewer customers than last week.  How many customers were at the car wash this week?
Enter the number of customers at the car wash this week.",ME,BOTH,0,no,no,no
stu_WGHAA88036,6,"An architect decides to create a playhouse model that is a smaller version of her showcased house. The living room of the real house is 10 feet long, and the length of the living room in the playhouse is reduced by 70%. What is the length of the playhouse's living room?
Enter the length of the living room for the playhouse.",ER,BOTH,0,no,no,no
stu_WGHAA88036,7,"At camp, Timothy's counselor shows him a mini-play using shadow puppets on the wall. When Timothy shows his friend, he stands 96 inches from the wall. The figures are a bit blurry, so he moves 24 inches closer to the wall. What is the percent change in Timothy's distance from the wall?
Enter the percent change in Timothy's distance from the wall from when the figures are blurry to after he moves closer.",ME,BOTH,0,no,yes,yes
stu_WGHAA88036,8,"The local animal shelter had 16 cats at the beginning of the week.  Since then, the number of cats at the shelter has decreased by 25%.  How many cats are at the animal shelter today?
Enter the number of cats at the animal shelter today.",ME,BOTH,0,no,yes,no
stu_WGHAA88036,9,"At the beginning of the month, Allen's Used Car Dealership had 70 cars on the lot.  Since then, Allen decreased the number of cars on the lot by 60%.   How many cars are on the lot now?
Enter the number of cars on the lot now.",ME,BOTH,0,no,no,no
stu_WGHAA88036,10,"In 1996, workers in the United States earned an average of $12 per hour. Over the next six years, the average hourly wage increased by 25%. What was the average hourly wage in 2002?
Enter the average hourly wage in 2002.",ME,BOTH,0,no,yes,no
stu_WGHAA88036,11,"The American Pet Products Association stated that from 2008 to 2009 the amount of money spent on veterinary care increased by 10%. Emma saw the same change in her spending as other U.S. consumers. In 2008, she spent $10 at the vet. How much did Emma spend at the vet in 2009?
Enter the amount Emma spent at the vet in 2009.",ER,BOTH,0,no,no,no
stu_WGHAA88036,12,"Each morning, Lawrence makes 4 cinnamon bagels for his customers at Barney's Bagels. Because of a recent increase in the popularity of cinnamon bagels, he has increased the number he bakes each morning by 25%. How many cinnamon bagels does Lawrence now bake each day?
Enter the number of cinnamon bagels Lawrence now bakes each day.",ER,BOTH,0,no,no,no
stu_WGHAA88036,13,"Your phone has 32 gigabytes of music on it. During the next sync, you add 25% more music to it, and it is full. How many gigabytes does the phone hold now?
Enter the total number of gigabytes that the phone holds now.",ME,BOTH,0,no,no,no
stu_WGHAA88036,14,"The manager of Cinema Ten lowered the price of an adult ticket by 65%. To her surprise, the number of theatergoers increased so much that the theater actually increased its total profits. Before the decrease, an adult ticket cost $20. How much did it cost after the decrease?
Enter the cost of an adult ticket after the price was lowered.",ER,BOTH,0,no,no,no
